sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
2-1-001,0.0732,0.0066,0.0666,91,0,8,5.02655E-05,87,70,,,,,,,,,,,,
2-1-002,0.107,0.0117,0.0953,89.1,0,8,5.02655E-05,83,70,,,,,,,,,,,,
2-1-003,0.1035,0.0189,0.0846,81.7,0,8,5.02655E-05,84,70,19,25,30,32,34,31,0.704,,,,,
2-1-004,0.1053,0.021,0.0843,80.1,0,8,5.02655E-05,84,70,30,37,27,37,38,32,0.741,,,,,
2-1-005,0.1094,0.0214,0.088,80.4,0,8,5.02655E-05,84,70,37,37.5,42,47,48,49,0.755,,,,,
2-1-006,0.1258,0.031,0.0948,75.4,0,8,5.02655E-05,82,70,52,56,57,52,57,53,0.827,,,,,
2-1-007,0.1295,0.0253,0.1042,80.5,0,8,5.02655E-05,82,70,59,59,61,59,57,55,0.826,,,,,
2-1-008,0.1405,0.0288,0.1117,79.5,0,8,5.02655E-05,81,70,61,66,56,66,63,55,0.82,,,,,
2-1-009,0.1381,0.0306,0.1075,77.8,0,8,5.02655E-05,82,70,58,62,68,68,62,62,0.84,,,,,
2-1-010,0.1399,0.0276,0.1123,80.3,0,8,5.02655E-05,81,70,66,63,67,69,68,68,0.842,,,,,
2-1-011,0.1186,0.0212,0.0974,82.1,0,8,5.02655E-05,83,70,55,66,68,67,68,59,0.841,,,,,
2-1-012,0.1264,0.0218,0.1046,82.8,0,8,5.02655E-05,83,70,62,65,72,57,67,63,0.32,,,,,
2-1-013,0.1095,0.0181,0.0914,83.5,0,8,5.02655E-05,83,70,62,63,65,65,66,67,0.827,,,,,
2-1-014,0.1108,0.0206,0.0902,81.4,0,8,5.02655E-05,83,70,73,66,53,58,63,68,0.828,,,,,
2-2-001,0.0976,0.0065,0.0911,93.3,0,8,5.02655E-05,84,70,,,,,,,,,,,,
2-2-002,0.1091,0.0147,0.0944,86.5,0,8,5.02655E-05,84,70,,,,,,,,,,,,
2-2-003,0.1032,0.0162,0.087,84.3,0,8,5.02655E-05,84,70,22,23,32,27,19,20,0.767,,,,,
2-2-004,0.1189,0.0207,0.0982,82.6,0,8,5.02655E-05,83,70,31,31,36,36,34,35,0.801,,,,,
2-2-005,0.1164,0.0204,0.096,82.5,0,8,5.02655E-05,83,70,43,44,52,53,48,47,0.81,,,,,
2-2-006,0.1406,0.0244,0.1162,82.6,0,8,5.02655E-05,81,70,52,52,50,47,52,50,0.822,,,,,
2-2-007,0.1296,0.0206,0.109,84.1,0,8,5.02655E-05,82,70,54,52,57,57,58,59,0.834,,,,,
2-2-008,0.1201,0.0176,0.1025,85.3,0,8,5.02655E-05,82,70,62,62,48,56,57,50,0.84,,,,,
2-2-009,0.1178,0.0176,0.1002,85.1,0,8,5.02655E-05,83,70,62,63,62,64,57,57,0.838,,,,,
2-2-010,0.1226,0.017,0.1056,86.1,0,8,5.02655E-05,82,70,66,74,74,62,60,56,0.841,,,,,
2-2-011,0.1145,0.0128,0.1017,88.8,0,8,5.02655E-05,82,70,59,72,69,62,67,68,0.841,,,,,
2-2-012,0.105,0.011,0.094,89.5,0,8,5.02655E-05,84,70,75,63,64,70,68,63,0.84,,,,,
2-2-013,0.1186,0.0309,0.0877,73.9,0,8,5.02655E-05,84,70,77,74,70,71,65,63,0.812,,,,,
2-3-001,0.0781,0.0051,0.073,93.5,0,8,5.02655E-05,86,70,,,,,,,,,,,,
2-3-002,0.0635,0.004,0.0595,93.7,0,8,5.02655E-05,86,70,,,,,,,,,,,,
2-3-003,0.0781,0.0054,0.0727,93.1,0,8,5.02655E-05,82,70,19,22,31,28,29,28,,,,,,
2-3-004,0.1156,0.0093,0.1063,92,0,8,5.02655E-05,84,70,32,34,28,35,38,31,,,,,,
2-3-005,0.0998,0.0084,0.0914,91.6,0,8,5.02655E-05,84,70,36,37.5,41,43,45,49,,,,,,
2-3-006,0.1014,0.0084,0.093,91.7,0,8,5.02655E-05,86,70,54,58,49,51,56,52,,,,,,
2-3-007,0.0793,0.0085,0.0708,89.3,0,8,5.02655E-05,86,70,60,61,59,59,57,55,,,,,,
2-3-008,0.1224,0.0115,0.1109,90.6,0,8,5.02655E-05,82,70,59,64,55,67,64,55,,,,,,
2-3-009,0.1028,0.0114,0.0914,88.9,0,8,5.02655E-05,84,70,58,63,68,68,63,62,,,,,,
2-3-010,0.1067,0.0173,0.0894,83.8,0,8,5.02655E-05,84,70,67,64,68,69,70,68,,,,,,
2-3-011,0.1117,0.014,0.0977,87.5,0,8,5.02655E-05,83,70,58,69,69,65,69,62,,,,,,
2-3-012,0.1102,0.0112,0.099,89.8,0,8,5.02655E-05,83,70,63,66,71,58,68,64,,,,,,
2-3-013,0.1376,0.0142,0.1234,89.7,0,8,5.02655E-05,82,70,64,62,65,64,67,68,,,,,,
2-3-014,0.1045,0.0108,0.0937,89.7,0,8,5.02655E-05,83,70,,,,,,,,,,,,
2-3-015,0.0838,0.0112,0.0726,86.6,0,8,5.02655E-05,85,70,,,,,,,,,,,,
2-3-016,0.118,0.0174,0.1006,85.3,0,8,5.02655E-05,83,70,,,,,,,,,,,,
2-4-001,0.0884,0.0072,0.0812,91.9,0,8,5.02655E-05,85,70,,,,,,,,,,,,
2-4-002,0.0987,0.0072,0.0915,92.7,0,8,5.02655E-05,84,70,,,,,,,,,,,,
2-4-003,0.0992,0.0076,0.0916,92.3,0,8,5.02655E-05,84,70,21,20,27,31,33,28,,,,,,
2-4-004,0.1331,0.0101,0.123,92.4,0,8,5.02655E-05,82,70,32,35,29,35,38,31,,,,,,
2-4-005,0.1266,0.0108,0.1158,91.5,0,8,5.02655E-05,82,70,38,37.5,41,46,47,48,,,,,,
2-4-006,0.1245,0.0109,0.1136,91.2,0,8,5.02655E-05,82,70,50,55,56,51,56,52,,,,,,
2-4-007,0.0975,0.0103,0.0872,89.4,0,8,5.02655E-05,85,70,60,60,61,58,61,55,,,,,,
2-4-008,0.1069,0.0109,0.096,89.8,0,8,5.02655E-05,83,70,63,64,58,62,59,64,,,,,,
2-4-009,0.1469,0.0172,0.1297,88.3,0,8,5.02655E-05,81,70,59,61,63,67,67,61,,,,,,
2-4-010,0.1222,0.0139,0.1083,88.6,0,8,5.02655E-05,82,70,67,65,68,58,69,69,,,,,,
2-4-011,0.1023,0.0121,0.0902,88.2,0,8,5.02655E-05,84,70,58,69,59,70,58,60,,,,,,
2-4-012,0.081,0.0105,0.0705,87,0,8,5.02655E-05,86,70,62,67,72,60,69,64,,,,,,
2-4-013,0.0803,0.011,0.0693,86.3,0,8,5.02655E-05,87,70,64,65,66,67,68,67,,,,,,
2-4-014,0.1012,0.0158,0.0854,84.4,0,8,5.02655E-05,85,70,73,66,64,65,63,68,,,,,,
