sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
12-1-001,0.1085,0.0089,0.0996,91.8,0,8,5.02655E-05,83,80,,,,,,,,,,,,
12-1-002,0.1098,0.0088,0.101,92,0,8,5.02655E-05,83,80,,,,,,,,,,,,
12-1-003,0.1066,0.0122,0.0945,88.6,0,8,5.02655E-05,83,80,,,,,,,,,,,,
12-1-004,0.099,0.0129,0.0862,87,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-1-005,0.1045,0.0133,0.0912,87.3,0,8,5.02655E-05,83,80,,,,,,,,,,,,
12-1-006,0.0957,0.0142,0.0815,85.2,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-1-007,0.0903,0.017,0.0732,81.1,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-1-008,0.0849,0.0121,0.0728,85.7,0,8,5.02655E-05,86,80,,,,,,,,,,,,
12-1-009,0.0935,0.0135,0.08,85.6,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-1-010,0.0927,0.013,0.0797,85.9,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-1-011,0.0933,0.0136,0.0797,85.4,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-1-012,0.0925,0.013,0.0795,85.9,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-1-013,0.0947,0.013,0.0817,86.3,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-2-001,0.131,0.0129,0.1181,90.2,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-002,0.1279,0.0124,0.1155,90.3,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-003,0.1404,0.0197,0.1206,85.9,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-004,0.1408,0.0199,0.1209,85.8,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-005,0.1454,0.021,0.1244,85.6,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-006,0.1388,0.0217,0.1171,84.4,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-007,0.1314,0.0196,0.1118,85.1,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-008,0.1393,0.0112,0.1281,91.9,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-009,0.1349,0.0198,0.1151,85.3,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-010,0.1304,0.0183,0.1121,86,0,8,5.02655E-05,81,80,,,,,,,,,,,,
12-2-011,0.123,0.0164,0.1066,86.7,0,8,5.02655E-05,82,80,,,,,,,,,,,,
12-3-001,0.119,0.0126,0.1065,89.4,0,8,5.02655E-05,82,80,,,,,,,,,,,,
12-3-002,0.0991,0.0124,0.0867,87.5,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-3-003,0.0923,0.0134,0.0789,85.5,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-3-004,0.0842,0.0126,0.0716,85.1,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-3-005,0.0951,0.013,0.0821,86.4,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-3-006,0.0892,0.0118,0.0774,86.8,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-3-007,0.0904,0.0143,0.0761,84.1,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-3-008,0.0927,0.0138,0.0789,85.1,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-3-009,0.097,0.0144,0.0826,85.1,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-3-010,0.0963,0.0145,0.0819,85,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-3-011,0.1006,0.0142,0.0864,85.9,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-4-001,0.0992,0.0113,0.0879,88.7,0,8,5.02655E-05,83,80,,,,,,,,,,,,
12-4-002,0.1097,0.0133,0.0964,87.9,0,8,5.02655E-05,83,80,,,,,,,,,,,,
12-4-003,0.089,0.012,0.077,86.5,0,8,5.02655E-05,85,80,,,,,,,,,,,,
12-4-004,0.0924,0.0118,0.0806,87.2,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-4-005,0.0755,0.0107,0.0648,85.9,0,8,5.02655E-05,87,80,,,,,,,,,,,,
12-4-006,0.0799,0.0114,0.0684,85.7,0,8,5.02655E-05,86,80,,,,,,,,,,,,
12-4-007,0.0772,0.0109,0.0663,85.8,0,8,5.02655E-05,86,80,,,,,,,,,,,,
12-4-008,0.0974,0.013,0.0844,86.7,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-4-009,0.0973,0.0131,0.0842,86.6,0,8,5.02655E-05,84,80,,,,,,,,,,,,
12-4-010,0.0994,0.0135,0.0859,86.4,0,8,5.02655E-05,84,80,,,,,,,,,,,,
