sample,position_1_1,position_2_1,position_3_1,position_4,position_5
6-1-013,4,,,108,
6-1-014,1,9,,111,
6-1-015,1,7,34,101,
6-2-001,1,,13,103,406
6-2-002,0,5,,63,250
6-2-003,,6,,65,238
6-2-004,3,,,74,247
6-2-005,0,6,,110,
6-2-006,3,,,116,
6-2-007,3,,11,97,
6-2-008,4,,23,93,
6-2-009,0,9,,64,121
6-2-010,3,,11,66,116
6-2-011,1,8,,84,
6-2-012,,6,,81,
6-2-013,2,9,,68,
6-2-014,2,8,,62,
6-3-001,,8,,88,261
6-3-002,3,,,53,215
6-3-003,3,,,46,151
6-3-004,0,6,,65,163
6-3-005,1,8,,129,
6-3-006,3,8,39,141,
6-3-007,1,8,32,117,
6-3-008,0,5,17,132,
6-3-009,4,,,125,
6-3-010,3,,,130,
6-3-011,0,9,,116,
6-3-012,,6,,129,
6-3-013,1,8,,97,
6-3-014,0,8,38,96,
6-3-015,1,,13,82,
6-4-001,0,8,49,202,463
6-4-002,4,,19,131,397
6-4-003,0,8,,67,201
6-4-004,3,,,72,171
6-4-005,1,7,,156,
6-4-006,4,,18,155,
6-4-007,3,,,121,
6-4-008,1,5,,142,
6-4-009,2,8,,129,
6-4-010,,6,,113,
6-4-011,4,,,104,
6-4-012,1,7,,110,
6-4-013,0,6,,96,
6-4-014,4,,19,89,
6-4-015,0,7,,90,
8-1-001,0,,14,81,265
8-1-002,2,,21,96,294
8-1-003,1,10,,88,239
8-1-004,0,7,,82,233
8-1-005,2,8,,70,250
8-2-001,0,5,25,180,482
8-2-002,0,5,24,169,447
8-2-003,4,,30,155,395
8-2-004,3,,23,158,412
8-2-005,1,9,32,159,387
8-3-001,2,,16,138,382
8-3-002,3,,27,154,391
8-3-003,2,,14,94,251
8-3-004,1,,12,87,203
8-3-005,3,,,81,185
8-4-001,2,,19,117,403
8-4-002,1,,11,89,285
8-4-003,2,,15,105,385
8-4-004,0,5,,89,330
8-4-005,1,,12,88,306
9-1-001,3,,18,142,336
9-1-002,0,6,32,137,332
9-1-003,,7,,119,313
9-1-004,1,,18,88,232
9-1-005,1,,12,89,221
9-2-001,0,,15,159,416
9-2-002,1,7,,170,455
9-2-003,3,,18,140,444
9-2-004,0,9,,138,364
9-2-005,0,7,,123,342
9-3-001,0,8,42,128,257
9-3-002,,5,,123,267
9-3-003,3,,11,90,250
9-3-004,0,9,,87,276
9-3-005,1,,13,80,259
9-4-001,3,,22,118,353
9-4-002,3,,25,116,279
