sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
9-1-001,0.0737,0.007,0.0667,90.5,0,12,3.84845E-05,86,86,49,,,,,,0.852,,0.78,,91.49,
9-1-002,0.0732,0.006,0.0672,91.8,0,12,3.84845E-05,86,86,49.7,,,,,,0.847,,0.69,,92.25,
9-1-003,0.0738,0.0075,0.0663,89.8,1,12,3.84845E-05,86,86,43,,,,,,0.854,0.84,0.77,,92.18,
9-1-004,0.066,0.008,0.058,87.9,0,12,3.84845E-05,87,86,38.3,,,,,,0.847,,0.76,,90.51,
9-1-005,0.0641,0.0075,0.0566,88.3,0,12,3.84845E-05,87,86,42.3,,,,,,0.851,,0.73,,92.41,
9-2-001,0.0714,0.0066,0.0648,90.8,0,12,3.84845E-05,87,86,53.4,,,,,,0.848,,0.75,,95.7,
9-2-002,0.0771,0.0069,0.0702,91.1,0,12,3.84845E-05,86,86,50.3,,,,,,0.844,,0.72,,93.97,
9-2-003,0.0704,0.0077,0.0627,89.1,1,12,3.84845E-05,87,86,47,,,,,,0.848,0.72,0.82,,93.65,
9-2-004,0.0723,0.0075,0.0648,89.6,0,12,3.84845E-05,86,86,43.6,,,,,,0.85,,0.78,,93.56,
9-2-005,0.0791,0.0098,0.0693,87.6,0,12,3.84845E-05,86,86,43.7,,,,,,0.853,,0.85,,92.88,
9-3-001,0.0755,0.0084,0.0671,88.9,0,12,3.84845E-05,86,86,56.5,,,,,,0.841,,,,82.89,
9-3-002,0.0734,0.0085,0.0649,88.4,0,12,3.84845E-05,87,86,52.8,,,,,,0.849,,0.91,,85.81,
9-3-003,0.0734,0.0105,0.0629,85.7,1,12,3.84845E-05,87,86,49.5,,,,,,0.851,1.23,0.98,,88.25,
9-3-004,0.0776,0.0115,0.0661,85.2,0,12,3.84845E-05,86,86,46.5,,,,,,0.849,,1.02,,86.43,
9-3-005,0.0733,0.0117,0.0616,84,0,12,3.84845E-05,86,86,46.1,,,,,,0.849,,1.1,,82.93,
9-4-001,0.0756,0.0085,0.0671,88.8,0,14,3.84845E-05,86,86,54.6,,,,,,0.83,,1.13,,64.89,
9-4-002,0.0781,0.0099,0.0682,87.3,0,14,3.84845E-05,86,86,48.5,,,,,,0.849,,1.03,,75.78,
9-4-003,0.0689,0.0094,0.0595,86.4,1,12,3.84845E-05,87,86,48.6,,,,,,0.856,1.33,1.1,,75.98,
9-4-004,0.0739,0.0125,0.0614,83.1,0,12,3.84845E-05,87,86,45.9,,,,,,0.86,,1.22,,82.46,
9-4-005,0.0766,0.0156,0.061,79.6,0,12,3.84845E-05,86,86,42.6,,,,,,0.857,,1.32,,83.09,
