sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
1-1-001,0.0589,0.0021,0.0568,96.4,0,6,5.02655E-05,89,70,21,32,23,25,19,18.7,,,,,,
1-1-002,0.0557,0.0025,0.0532,95.5,0,6,5.02655E-05,89,70,21,19.9,20,28.5,26,27,,,,,,
1-1-003,0.0459,0.0009,0.045,98,0,6,5.02655E-05,91,70,31,32,29,35,32,29.1,,,,,,
1-1-004,0.054,0.0031,0.0509,94.3,0,6,5.02655E-05,90,70,34,40,34,36,35,36,,,,,,
1-1-005,0.0468,0.0024,0.0444,94.9,0,6,5.02655E-05,91,70,35,36,39,34,38,34,,,,,,
1-1-006,0.0439,0.0025,0.0414,94.3,0,6,5.02655E-05,91,70,43,45.3,44,41,42,41,,,,,,
1-1-007,0.0448,0.0028,0.042,93.8,0,6,5.02655E-05,92,70,43,42,46,46,44,41,,,,,,
1-1-008,0.0415,0.0035,0.038,91.6,0,6,5.02655E-05,92,70,41,44,44,42,44,42,,,,,,
1-1-009,0.0439,0.0042,0.0397,90.4,0,6,5.02655E-05,92,70,39,38.8,43,44,45,44,,,,,,
1-2-001,0.051,0.0033,0.0477,93.5,0,6,5.02655E-05,91,70,45,44,46,48,47,48,,,,,,
1-2-002,0.0552,0.0034,0.0518,93.8,0,6,5.02655E-05,90,70,20,20,23,19,19,18.7,,,,,,
1-2-003,0.0538,0.0039,0.0499,92.8,0,6,5.02655E-05,90,70,21,19.9,20,27.3,27.2,27,0.599,,,,,
1-2-004,0.0531,0.0042,0.0489,92.1,0,6,5.02655E-05,91,70,31,31,31,32,32,29.1,0.6,,,,,
1-2-005,0.0515,0.0044,0.0471,91.5,0,6,5.02655E-05,92,70,35,39,34,34,36,36,,,,,,
1-2-006,0.0605,0.0056,0.0549,90.7,0,6,5.02655E-05,90,70,38,38,38.7,35,36,37,,,,,,
1-2-007,0.0523,0.0054,0.0469,89.7,0,6,5.02655E-05,91,70,42.3,46,46,42,42,41,,,,,,
1-2-008,0.0442,0.0046,0.0396,89.6,0,6,5.02655E-05,92,70,43,43,45,47,42,41,,,,,,
1-2-009,0.05,0.0044,0.0456,91.2,0,6,5.02655E-05,91,70,40.5,43.4,45.6,41,41,42,,,,,,
1-3-001,0.0648,0.0042,0.0606,93.5,0,6,5.02655E-05,89,70,39,38.8,43,44,44.5,44,,,,,,
1-3-002,0.0638,0.0039,0.0599,93.9,0,6,5.02655E-05,89,70,17,15,20,21,22,20,,,,,,
1-3-003,0.0635,0.0043,0.0592,93.2,0,6,5.02655E-05,89,70,20,19,21,27.5,25,30,,,,,,
1-3-004,0.0725,0.0045,0.068,93.8,0,6,5.02655E-05,88,70,30,33,30,33,29,28,,,,,,
1-3-005,0.0627,0.0046,0.0581,92.7,0,6,5.02655E-05,89,70,39,38,32,35,34,33,,,,,,
1-3-006,0.051,0.0043,0.0467,91.6,0,6,5.02655E-05,91,70,34,36,37,33,36.8,35,,,,,,
1-3-007,0.0614,0.0053,0.0561,91.4,0,6,5.02655E-05,89,70,42,44,40,42,39,40,,,,,,
1-3-008,0.0498,0.005,0.0448,90,0,6,5.02655E-05,91,70,45,43,44,47,42,40,,,,,,
1-3-009,0.0464,0.0049,0.0415,89.4,0,6,5.02655E-05,92,70,41,41,46,45,43,44,,,,,,
1-3-010,0.0406,0.0057,0.0349,86,0,6,5.02655E-05,93,70,41,42,39,39,38,42,,,,,,
1-4-001,0.0673,0.0048,0.0625,92.9,0,6,5.02655E-05,90,70,44,39,41,45,44,49,,,,,,
1-4-002,0.0733,0.005,0.0683,93.2,0,6,5.02655E-05,89,70,24,25,25,24.5,23,24,0.823,,,,,
1-4-004,0.0636,0.0056,0.058,91.2,0,6,5.02655E-05,90,70,27.2,27,28,28,26,26,0.826,,,,,
1-4-005,0.0642,0.0057,0.0585,91.1,0,6,5.02655E-05,90,70,36,37,36,38,37,36,0.831,,,,,
1-4-006,0.0583,0.0061,0.0522,89.5,0,6,5.02655E-05,91,70,37,40,39,39.2,41,37,0.84,,,,,
1-4-007,0.0607,0.0072,0.0535,88.1,0,6,5.02655E-05,90,70,40,40.3,39.2,40.7,41,40.3,0.834,,,,,
1-4-008,0.0568,0.0062,0.0506,89.1,0,6,5.02655E-05,91,70,43,39,38,36,43,42,0.833,,,,,
1-4-009,0.0564,0.0075,0.0489,86.7,0,6,5.02655E-05,91,70,39,39,39,36,36,36,0.828,,,,,
