,sample,position_1_1,position_2_1,position_3_1,position_4,position_5
0,1-1-001,16.21428571428556,,197.16666666666666,,433.0322580645161
1,1-1-002,16.800000000000015,,156.28571428571428,322.1891891891892,
2,1-1-003,13.799999999999946,,124.21428571428572,321.48387096774195,335.1
3,1-1-004,14.500000000000002,,139.73076923076923,287.59999999999997,306.40625
4,1-1-005,39.66666666666665,,,208.0,
5,1-1-006,18.24999999999999,,,200.45238095238096,
6,1-1-007,15.181818181818162,,,156.2972972972973,
7,1-1-008,14.952380952380961,,152.46341463414635,,
8,1-1-009,16.538461538461547,,122.41025641025641,142.25,
9,1-2-001,11.999999999999966,,121.0,,314.1666666666667
10,1-2-002,15.666666666666673,,108.00000000000003,296.62790697674416,
11,1-2-003,14.066666666666716,,118.14285714285715,290.7096774193549,
12,1-2-004,10.299999999999976,,99.58333333333333,286.2941176470588,273.1818181818182
13,1-2-005,17.153846153846164,,,184.40816326530611,
14,1-2-006,14.578947368421069,,,160.3269230769231,
15,1-2-007,12.266666666666648,,151.13636363636363,137.7560975609756,
16,1-2-008,0.9999999999999898,,126.32876712328765,,
17,1-2-009,15.600000000000003,,103.23076923076924,126.63043478260869,
18,1-3-001,,,16.000000000000014,308.0,317.3720930232558
19,1-3-002,16.266666666666563,,117.33333333333331,293.9512195121951,
20,1-3-003,16.285714285714327,,106.58333333333334,254.4848484848485,268.7073170731707
21,1-3-004,11.124999999999963,,116.39130434782612,289.6774193548387,305.0
22,1-3-005,22.04761904761905,,,199.88235294117646,
23,1-3-006,12.277777777777787,,,190.95,
24,1-3-007,15.181818181818162,,,147.09615384615384,
25,1-3-008,14.307692307692289,,,121.10000000000001,
26,1-3-009,13.80769230769231,,107.47500000000001,129.7941176470588,
27,1-3-010,11.055555555555552,,76.48936170212765,,
28,1-4-001,,,16.000000000000014,420.29729729729723,402.125
29,1-4-002,15.11111111111112,,131.20000000000002,338.89583333333337,355.96969696969694
30,1-4-004,14.384615384615351,,,263.7674418604651,
31,1-4-005,16.77777777777778,,94.12500000000001,241.025,
32,1-4-006,15.100000000000025,,,199.64,
33,1-4-007,15.58333333333335,,,173.5,
34,1-4-008,14.999999999999991,,165.33333333333334,181.8974358974359,
35,1-4-009,13.222222222222225,,,115.22916666666667,
36,2-1-001,71.72093023255822,,,539.9259259259259,
37,2-1-002,12.81250000000006,,175.78947368421055,371.484375,
38,2-1-003,7.333333333333347,,131.25,211.20000000000002,
39,2-1-004,14.000000000000012,,112.13043478260869,175.28125,
40,2-1-005,9.562500000000028,,118.0,170.36363636363637,
41,2-1-006,10.222222222222154,,98.23809523809524,,
42,2-1-007,10.913043478260875,,120.43396226415095,204.5,
43,2-1-008,10.20588235294119,,114.04347826086956,258.50000000000006,
44,2-1-009,12.214285714285733,,102.94444444444444,161.97222222222223,
45,2-1-010,11.5,,110.0754716981132,156.12,
46,2-1-011,11.86956521739132,,,117.14035087719299,
47,2-1-012,12.199999999999989,,100.8936170212766,,
48,2-1-013,10.052631578947368,,98.08510638297872,127.35294117647058,
49,2-1-014,12.681818181818173,175.40000000000003,76.27027027027027,,
50,2-2-001,18.409090909090875,,204.5833333333333,603.6904761904763,
51,2-2-002,12.210526315789405,,147.5,275.25,
52,2-2-003,10.629629629629678,,122.33333333333334,153.83333333333334,273.59999999999997
53,2-2-004,8.600000000000009,,112.08333333333331,154.46666666666667,
54,2-2-005,13.666666666666693,,,129.64583333333331,
55,2-2-006,13.416666666666677,,,121.6,
56,2-2-007,13.71428571428568,,,125.16279069767442,
57,2-2-008,13.055555555555543,,,121.51020408163265,
58,2-2-009,9.866666666666625,,113.94117647058823,169.19607843137254,
59,2-2-010,10.888888888888903,,124.77777777777779,178.67567567567568,
60,2-2-011,14.294117647058835,,132.60714285714286,164.92727272727274,
61,2-2-012,17.047619047619044,,,113.16216216216218,
62,2-2-013,16.772727272727263,,111.1578947368421,135.27499999999998,
63,2-3-001,,,15.99999999999997,,415.8235294117647
64,2-3-002,,,16.999999999999993,335.5666666666667,
65,2-3-003,17.785714285714338,,152.69230769230768,291.0,
66,2-3-004,12.99999999999999,,127.3157894736842,251.56521739130432,272.45
67,2-3-005,16.142857142857103,,142.33333333333334,231.99999999999997,
68,2-3-006,11.799999999999988,,,145.22,
69,2-3-007,14.555555555555566,,,135.11363636363635,
70,2-3-008,11.769230769230731,,142.86666666666665,210.22222222222223,
71,2-3-009,13.437500000000014,,,130.13207547169813,
72,2-3-010,15.062499999999957,,,141.15555555555557,
73,2-3-011,13.842105263157901,,,149.83333333333334,
74,2-3-012,13.99999999999999,,,130.40350877192984,
75,2-3-013,16.99999999999997,,109.28846153846152,143.125,
76,2-3-014,9.624999999999984,,103.41025641025641,119.33333333333334,
77,2-3-015,14.84210526315788,,87.42424242424242,,
78,2-3-016,14.642857142857135,,71.67073170731709,,328.5
79,2-4-001,16.000000000000014,,168.2857142857143,364.97647058823526,
80,2-4-002,,,16.000000000000014,355.02631578947364,337.4878048780488
81,2-4-003,15.700000000000003,,157.7142857142857,303.34939759036143,
82,2-4-004,13.08333333333338,,159.94117647058823,315.0,
83,2-4-005,15.714285714285703,,142.35000000000002,243.69565217391306,
84,2-4-006,12.599999999999989,,141.45714285714286,210.57142857142858,
85,2-4-007,8.928571428571441,,,140.63888888888889,
86,2-4-008,13.526315789473674,,,139.84615384615384,
87,2-4-009,13.714285714285701,,112.7878787878788,183.42424242424244,
88,2-4-010,13.599999999999968,,,131.31578947368422,
89,2-4-011,13.583333333333346,,,118.32692307692308,
