sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
8-1-001,0.0594,0.0082,0.0512,86.2,0,12,3.84845E-05,88,86,60.2,,,,,,0.839,,1.23,,67.76,
8-1-002,0.078,0.0114,0.0666,85.4,0,14,3.84845E-05,85,86,52.2,,,,,,0.842,,1.18,,63.34,
8-1-003,0.0812,0.0118,0.0694,85.5,1,14,3.84845E-05,85,86,49.5,,,,,,0.859,1.94,1.17,,72.93,
8-1-004,0.071,0.0107,0.0603,84.9,0,12,3.84845E-05,87,86,53.5,,,,,,0.861,,1.23,,74.88,
8-1-005,0.0724,0.0135,0.0589,81.4,0,12,3.84845E-05,87,86,50.6,,,,,,0.861,,1.35,,76.27,
8-2-001,0.0752,0.0071,0.0681,90.6,0,12,3.84845E-05,86,86,57.9,,,,,,0.849,,0.9,,93.65,
8-2-002,0.0739,0.0071,0.0668,90.4,0,12,3.84845E-05,86,86,53.4,,,,,,0.851,,0.87,,91.02,
8-2-003,0.0742,0.0078,0.0664,89.5,1,12,3.84845E-05,86,86,50.9,,,,,,0.848,0.9,0.81,,93.33,
8-2-004,0.0749,0.0074,0.0675,90.1,0,12,3.84845E-05,86,86,50.4,,,,,,0.85,,0.78,,95.09,
8-2-005,0.0778,0.0073,0.0705,90.6,0,12,3.84845E-05,86,86,47.5,,,,,,0.848,,0.79,,92.22,
8-3-001,0.079,0.008,0.071,89.9,0,12,3.84845E-05,86,86,55.8,,,,,,0.852,,0.76,,93.06,
8-3-002,0.0852,0.0083,0.0769,90.3,0,12,3.84845E-05,85,86,53.9,,,,,,0.852,,0.76,,93.36,
8-3-003,0.0734,0.0101,0.0633,86.2,1,12,3.84845E-05,86,86,49.5,,,,,,0.851,0.81,0.86,,91.74,
8-3-004,0.0699,0.0099,0.06,85.8,0,12,3.84845E-05,87,86,44.8,,,,,,0.851,,0.83,,91.41,
8-3-005,0.0679,0.0094,0.0585,86.2,0,12,3.84845E-05,87,86,42.6,,,,,,0.848,,0.79,,90.38,
8-4-001,0.0749,0.0106,0.0643,85.8,0,12,3.84845E-05,86,86,57.6,,,,,,0.828,,1.45,,66.72,
8-4-002,0.0712,0.0105,0.0607,85.3,0,12,3.84845E-05,87,86,54,,,,,,0.837,,1.35,,63.58,
8-4-003,0.0648,0.0098,0.055,84.9,1,12,3.84845E-05,88,86,53.7,,,,,,0.842,1.79,1.31,,76.21,
8-4-004,0.081,0.0148,0.0662,81.7,0,11,3.84845E-05,86,86,53,,,,,,0.854,,1.35,,79.23,
8-4-005,0.0807,0.0153,0.0654,81,0,12,3.84845E-05,86,86,49.2,,,,,,0.858,,1.44,,76.64,
