sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
6-1-001,0.0938,0.0132,0.0806,85.9,0,8,5.02655E-05,83,80,5.2,7.2,13.8,2.9,19.8,48,,,,,,
6-1-002,0.0806,0.012,0.0686,85.1,0,8,5.02655E-05,84,80,19.5,12,14.3,15.3,18.8,20.1,,,,,,
6-1-003,0.077,0.0142,0.0628,81.6,0,8,5.02655E-05,84,80,28,35.4,23.9,5.2,26.6,7.2,,,,,,
6-1-004,0.0876,0.0093,0.0783,89.4,0,8,5.02655E-05,83,80,20.2,14.6,13.9,11.1,3.8,18,,,,,,
6-1-005,0.11,0.0208,0.0892,81.1,0,8,5.02655E-05,81,80,37.7,37.1,36.8,27.6,31.5,29.6,,,,,,
6-1-006,0.0998,0.0177,0.0821,82.3,0,8,5.02655E-05,82,80,49.2,42.6,41.2,28.8,31.9,39,,,,,,
6-1-007,0.0995,0.018,0.0815,81.9,0,8,5.02655E-05,82,80,44,38.8,34.5,30.1,34,43.4,,,,,,
6-1-008,0.1267,0.0245,0.1022,80.7,0,8,5.02655E-05,80,80,40.7,46.3,42.8,44.4,42.1,45.2,,,,,,
6-1-009,0.1387,0.0252,0.1135,81.8,0,8,5.02655E-05,79,80,45.4,44.8,42.8,45.8,41.4,38.6,,,,,,
6-1-010,0.1303,0.0265,0.1038,79.7,0,8,5.02655E-05,80,80,45.9,45.8,48.5,44.2,42.1,41,,,,,,
6-1-011,0.1339,0.026,0.1079,80.6,1,8,5.02655E-05,80,80,46.4,41.7,43.9,42.5,44.5,39.3,,,,,,
6-1-012,0.1198,0.0214,0.0984,82.1,0,8,5.02655E-05,81,80,39,46.3,43.1,48.1,46.1,44.8,,,,,,
6-1-013,0.1191,0.0202,0.0989,83,0,8,5.02655E-05,81,80,49.9,51.6,42.7,45.2,51.1,48.2,,,,,,
6-1-014,0.1074,0.0192,0.0882,82.1,0,8,5.02655E-05,82,80,49.1,50.3,45.9,50.3,52.6,48.6,,,,,,
6-1-015,0.107,0.0206,0.0864,80.7,0,8,5.02655E-05,82,80,65.7,52.3,53.1,56.2,60.7,50.1,,,,,,
6-2-001,0.0695,0.0061,0.0634,91.2,0,8,5.02655E-05,85,80,4.4,3.4,3.8,4.1,6.1,1.6,,,,,,
6-2-002,0.0668,0.0066,0.0602,90.1,0,8,5.02655E-05,85,80,10.4,1.5,0.9,0.4,37,8.9,,,,,,
6-2-003,0.044,0.0101,0.0339,77,0,8,5.02655E-05,84,80,12.1,15.4,10.9,5.4,15.6,11,,,,,,
6-2-004,0.109,0.0098,0.0992,91,0,8,5.02655E-05,85,80,35.3,25.7,6.7,24,27.1,33.4,,,,,,
6-2-005,0.0904,0.0167,0.0737,81.5,0,8,5.02655E-05,83,80,32.1,41.2,23.4,34.9,34.1,33.2,,,,,,
6-2-006,0.0954,0.0158,0.0796,83.4,0,8,5.02655E-05,83,80,43,44,42.1,41.7,42.8,40.3,,,,,,
6-2-007,0.0894,0.0163,0.0731,81.8,1,8,5.02655E-05,84,80,46.8,49,47.9,44.5,48.3,50.1,,,,,,
6-2-008,0.0979,0.0207,0.0772,78.9,0,8,5.02655E-05,83,80,44.6,52.8,43.1,49.2,48.3,47.9,,,,,,
6-2-009,0.0888,0.0178,0.071,80,0,8,5.02655E-05,83,80,50.5,51.1,53.7,50.4,57.3,52.6,,,,,,
6-2-010,0.0932,0.0182,0.075,80.5,0,8,5.02655E-05,83,80,54.3,49.1,48.3,52.7,49.8,54.6,,,,,,
6-2-011,0.089,0.0169,0.0721,81,0,8,5.02655E-05,84,80,57.8,55.3,55.9,54.5,57.6,54.3,,,,,,
6-2-012,0.086,0.0166,0.0694,80.7,0,8,5.02655E-05,84,80,60.3,56.6,57.4,50.3,56.7,56.8,,,,,,
6-2-013,0.0871,0.0171,0.07,80.4,0,8,5.02655E-05,83,80,57.3,50.9,54.9,59.7,53.9,59.5,,,,,,
6-2-014,0.0839,0.0165,0.0674,80.3,0,8,5.02655E-05,84,80,52,49.8,51.7,47.7,50.5,52.6,,,,,,
6-3-001,0.0592,0.0078,0.0514,86.8,0,8,5.02655E-05,86,80,11.3,0.5,4.1,2.5,19.4,23.2,,,,,,
6-3-002,0.0631,0.0091,0.054,85.6,0,8,5.02655E-05,86,80,21.2,7.5,8,5.7,8.8,4.3,,,,,,
