sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
4-1-001,0.09287,0.01067,0.0822,88.5,0,8,5.02655E-05,83,80,10.9,14.7,1.9,13.9,13.3,35.4,,,,,,
4-1-002,0.1191,0.0224,0.0967,81.2,0,8,5.02655E-05,81,80,29.7,38.6,19.4,33.3,32.2,17.6,,,,,,
4-1-003,0.1025,0.0174,0.0851,83,0,8,5.02655E-05,82,80,46.9,42.8,47.1,41.2,51.1,43.9,,,,,,
4-1-004,0.1078,0.0243,0.0835,77.5,0,8,5.02655E-05,82,80,49.2,41.9,44.2,37.4,43.7,46.5,,,,,,
4-1-005,0.132,0.0215,0.1105,83.7,0,8,5.02655E-05,80,80,50.7,51.6,49,48.5,51,49.4,,,,,,
4-1-006,0.1344,0.0266,0.1078,80.2,1,8,5.02655E-05,80,80,52.2,47,55.6,50.2,51.8,52.4,,,,,,
4-1-007,0.1295,0.0288,0.1007,77.8,0,8,5.02655E-05,80,80,52,51.1,46.1,5.8,48.3,48.5,,,,,,
4-1-008,0.1138,0.0231,0.0907,79.7,0,8,5.02655E-05,80,80,52.8,55.4,54.9,58,51.3,55.6,,,,,,
4-1-009,0.1064,0.0198,0.0866,81.4,0,8,5.02655E-05,81,80,54.1,54,54.4,55.3,53.7,56.4,,,,,,
4-1-010,0.135,0.0251,0.1099,81.4,0,8,5.02655E-05,81,80,49.3,52.5,52.4,53,48.5,60.1,,,,,,
4-1-011,0.1093,0.0218,0.0875,80.1,0,8,5.02655E-05,82,80,64.3,59.1,63.4,59.5,57.2,60.4,,,,,,
4-1-012,0.1033,0.019,0.0843,81.6,0,8,5.02655E-05,82,80,54.3,54.6,55.1,52.6,59.2,55.9,,,,,,
4-1-013,0.1045,0.0202,0.0843,80.7,0,8,5.02655E-05,82,80,60.9,52.1,54.6,63.1,54.4,52.8,,,,,,
4-1-014,0.1026,0.0212,0.0814,79.3,0,8,5.02655E-05,82,80,53.3,54,55.6,56.3,54.4,53.9,,,,,,
4-1-015,0.0926,0.0186,0.074,79.9,0,8,5.02655E-05,83,80,22.8,50.6,52,55.8,54.5,50.9,,,,,,
4-1-016,0.0898,0.0183,0.0715,79.6,0,8,5.02655E-05,83,80,45.9,45.4,52.5,53.5,52.3,50.5,,,,,,
4-2-001,0.0958,0.0063,0.0895,93.4,0,8,5.02655E-05,82,80,1.1,0.8,0.4,0,0.9,1.6,,,,,,
4-2-002,0.0806,0.0072,0.0734,91.1,0,8,5.02655E-05,84,80,2.9,20.4,24.3,0.4,0,1.4,,,,,,
4-2-003,0.1291,0.0182,0.1109,85.9,0,8,5.02655E-05,80,80,15.6,27.5,25.8,30.8,43.1,40.7,,,,,,
4-2-004,0.1216,0.0136,0.108,88.8,0,8,5.02655E-05,80,80,47.5,46.4,10.4,50,19,42.5,,,,,,
4-2-005,0.1498,0.0201,0.1297,86.6,0,8,5.02655E-05,79,80,42.5,45.6,41.7,39.1,45.8,4.6,,,,,,
4-2-006,0.1813,0.0252,0.1561,86.1,0,8,5.02655E-05,78,80,38.6,47.3,57.3,59.1,58.9,49.5,,,,,,
4-2-007,0.1599,0.0263,0.1336,83.6,1,8,5.02655E-05,78,80,46.5,59,47.9,49.8,5,51.3,,,,,,
4-2-008,0.1633,0.0298,0.1335,81.8,0,8,5.02655E-05,78,80,47.5,53.8,51,47.8,50.7,48.6,,,,,,
4-2-009,0.1432,0.0249,0.1183,82.6,0,8,5.02655E-05,79,80,55.8,57.1,53.2,49.5,52.6,50.6,,,,,,
4-2-010,0.1396,0.0232,0.1164,83.4,0,8,5.02655E-05,79,80,56.9,53.9,51.9,51.4,52.2,51.9,,,,,,
4-2-011,0.1206,0.022,0.0986,81.8,0,8,5.02655E-05,80,80,55.8,51.1,55.7,54.4,53.9,54.3,,,,,,
4-2-012,0.1105,0.0178,0.0927,83.9,0,8,5.02655E-05,81,80,55.2,55.9,56.4,49,54.1,57,,,,,,
4-2-013,0.1142,0.0192,0.095,83.2,0,8,5.02655E-05,81,80,55.6,55.1,50.2,57.3,53.2,52.2,,,,,,
4-2-014,0.103,0.0169,0.0861,83.6,0,8,5.02655E-05,82,80,55.9,54.7,84.8,58.2,50.4,55.4,,,,,,
4-2-015,0.0962,0.0163,0.0799,83.1,0,8,5.02655E-05,82,80,51.2,51.5,52.1,50.5,49.2,52.5,,,,,,
4-3-001,0.0929,0.0083,0.0846,91.1,0,8,5.02655E-05,82,80,6,7,12.1,4,1.4,5.3,,,,,,
