sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
5-1-001,0.091,0.0113,0.0797,87.6,0,8,5.02655E-05,83,80,0.8,2.9,4.5,2.3,2.8,8.7,,,,,,
5-1-002,0.0851,0.0111,0.074,87,0,8,5.02655E-05,83,80,7.7,7.2,44,4.7,3.6,8.4,,,,,,
5-1-003,0.1097,0.0184,0.0913,83.2,0,8,5.02655E-05,82,80,15.1,3.9,29.3,9.9,18,34,,,,,,
5-1-004,0.1164,0.0184,0.098,84.2,0,8,5.02655E-05,81,80,47.6,40.2,42.5,52.7,38.7,47.8,,,,,,
5-1-005,0.0921,0.0151,0.077,83.6,0,8,5.02655E-05,83,80,51.1,42.6,40.2,43.8,48.8,44.2,,,,,,
5-1-006,0.138,0.0224,0.1156,83.8,1,8,5.02655E-05,79,80,52.6,55.8,52,49.3,54.8,49.9,,,,,,
5-1-007,0.1003,0.0179,0.0824,82.2,0,8,5.02655E-05,82,80,54.8,48.1,53.2,49.7,50.9,50.7,,,,,,
5-1-008,0.1058,0.0168,0.089,84.1,0,8,5.02655E-05,82,80,53,53,48.7,52.3,52.7,19.1,,,,,,
5-1-009,0.1059,0.0199,0.086,81.2,0,8,5.02655E-05,82,80,53.6,52.1,53,49.3,54.1,23,,,,,,
5-1-010,0.1059,0.0202,0.0857,80.9,0,8,5.02655E-05,82,80,47.7,47.7,47.7,47,50.1,44.6,,,,,,
5-1-011,0.1105,0.0214,0.0891,80.6,0,8,5.02655E-05,82,80,47.7,50.8,48.7,48.3,46.2,5.5,,,,,,
5-1-012,0.1025,0.0174,0.0851,83,0,8,5.02655E-05,82,80,48,47.3,5.2,49.8,44.6,47.2,,,,,,
5-1-013,0.0999,0.0178,0.0821,82.2,0,8,5.02655E-05,82,80,7.5,55.1,43.5,44.9,44.4,47.7,,,,,,
5-2-001,0.0714,0.0063,0.0651,91.2,0,8,5.02655E-05,84,80,2,2.5,0.5,2.1,2.2,0.5,,,,,,
5-2-002,0.0818,0.0129,0.0689,84.2,0,8,5.02655E-05,84,80,5.8,1.3,4.5,4.2,16.3,16.4,,,,,,
5-2-003,0.0658,0.0082,0.0576,87.5,0,8,5.02655E-05,85,80,22.8,11.2,9.5,10.7,6.6,12.6,,,,,,
5-2-004,0.0896,0.015,0.0746,83.3,0,8,5.02655E-05,83,80,22.2,21.7,33.4,17.2,11.9,31.5,,,,,,
5-2-005,0.092,0.0158,0.0762,82.8,0,8,5.02655E-05,83,80,26.2,35.6,29.5,37.1,38.5,35.2,,,,,,
5-2-006,0.1084,0.0172,0.0912,84.1,0,8,5.02655E-05,82,80,41.8,39.1,36.6,39.1,33.9,43,,,,,,
5-2-007,0.1151,0.0198,0.0953,82.8,0,8,5.02655E-05,81,80,43.6,42.9,37.8,43.5,45.3,33.4,,,,,,
5-2-008,0.0972,0.0172,0.08,82.3,1,8,5.02655E-05,82,80,43.5,40.9,46.7,44.4,42.8,42,,,,,,
5-2-009,0.0967,0.0162,0.0805,83.2,0,8,5.02655E-05,82,80,43.4,43.8,47,43.5,46.3,44.3,,,,,,
5-2-010,0.1155,0.0236,0.0919,79.6,0,8,5.02655E-05,81,80,38.8,49.6,43.6,45,43.2,41.5,,,,,,
5-2-011,0.1122,0.0234,0.0888,79.1,0,8,5.02655E-05,81,80,51.2,50.8,51.4,50.2,51.2,48.1,,,,,,
5-2-012,0.1073,0.018,0.0893,83.2,0,8,5.02655E-05,82,80,52.1,54.3,54.4,48.2,54.3,48.4,,,,,,
5-2-013,0.1035,0.0183,0.0852,82.3,0,8,5.02655E-05,82,80,54.3,55.3,53.8,54.6,52.7,53,,,,,,
5-2-014,0.1044,0.0182,0.0862,82.6,0,8,5.02655E-05,82,80,50.9,51,47.5,52.6,48.8,50,,,,,,
5-2-015,0.1042,0.0189,0.0853,81.9,0,8,5.02655E-05,82,80,52.1,52.1,52.9,49.7,50.8,54.6,,,,,,
5-2-016,0.0944,0.0167,0.0777,82.3,0,8,5.02655E-05,82,80,48.4,49.3,53.7,49.1,50.1,44.3,,,,,,
5-2-017,0.0859,0.015,0.0709,82.5,0,8,5.02655E-05,83,80,50.1,7.1,53.5,50.2,44.7,49.2,,,,,,
5-3-001,0.0619,0.0077,0.0542,87.6,0,8,5.02655E-05,86,80,0,1.9,0.4,1.8,2.5,5.1,,,,,,
5-3-002,0.1228,0.0131,0.1097,89.3,0,8,5.02655E-05,80,80,24.4,7.6,0.5,3,0,5.5,,,,,,
5-3-003,0.1164,0.0165,0.0999,85.8,0,8,5.02655E-05,81,80,34.4,38.9,30.2,31.7,36.2,35.8,,,,,,
5-3-004,0.1399,0.0181,0.1218,87.1,0,8,5.02655E-05,79,80,18.4,28.7,29.3,18.9,22.3,22.9,,,,,,
5-3-005,0.158,0.024,0.134,84.8,1,8,5.02655E-05,78,80,41.1,37.2,35.6,37.2,43.1,43.2,,,,,,
5-3-006,0.1575,0.0272,0.1303,82.7,0,8,5.02655E-05,78,80,49.3,43.5,41.7,37,39.5,40.9,,,,,,
5-3-007,0.1382,0.0221,0.1161,84,0,8,5.02655E-05,79,80,46.3,44.1,43.6,40.3,46.5,44.7,,,,,,
5-3-008,0.15,0.0259,0.1241,82.7,0,8,5.02655E-05,79,80,47.3,47,42,40.3,44.5,43.4,,,,,,
5-3-009,0.1322,0.0197,0.1125,85.1,0,8,5.02655E-05,80,80,51.2,46.4,30.7,48,45.7,5.4,,,,,,
5-3-010,0.121,0.0195,0.1015,83.9,0,8,5.02655E-05,80,80,49.2,49.6,47.5,55.6,54.6,48.4,,,,,,
5-3-011,0.1182,0.0213,0.0969,82,0,8,5.02655E-05,81,80,48.1,46.8,48,48,48.4,46.9,,,,,,
5-3-012,0.1259,0.021,0.1049,83.3,0,8,5.02655E-05,80,80,45.5,12.5,50.6,49.3,49.6,46,,,,,,
5-3-013,0.1146,0.0197,0.0949,82.8,0,8,5.02655E-05,81,80,44.5,44.8,50.4,47.6,48,43.1,,,,,,
5-3-014,0.1122,0.0201,0.0921,82.1,0,8,5.02655E-05,81,80,41.8,47.6,49.2,47.1,49.5,48.7,,,,,,
5-3-015,0.11,0.0193,0.0907,82.5,0,8,5.02655E-05,82,80,47.1,48.1,48.3,49.3,45.2,36.5,,,,,,
5-4-001,0.0774,0.0083,0.0691,89.3,0,8,5.02655E-05,84,80,2,1.8,1.6,1,0.1,0.9,,,,,,
5-4-002,0.0725,0.0096,0.0629,86.8,0,8,5.02655E-05,85,80,1.2,0.7,2,2.9,0,0.1,,,,,,
5-4-003,0.0944,0.0115,0.0829,87.8,0,8,5.02655E-05,83,80,31.1,22.7,3.3,34.7,24.7,16.9,,,,,,
5-4-004,0.1548,0.0248,0.13,84,0,8,5.02655E-05,78,80,30.6,23.6,19.5,27,30.7,33.2,,,,,,
5-4-005,0.1409,0.0231,0.1178,83.6,0,8,5.02655E-05,79,80,37.1,40.8,29.7,41.2,43.9,28.1,,,,,,
5-4-006,0.1513,0.0266,0.1247,82.4,1,8,5.02655E-05,79,80,11,44.3,47.3,37,22,43.7,,,,,,
5-4-007,0.1507,0.0274,0.1233,81.8,0,8,5.02655E-05,79,80,46.4,43.2,39.5,34.6,38.7,44.8,,,,,,
5-4-008,0.1438,0.025,0.1188,82.6,0,8,5.02655E-05,79,80,51.9,47.3,47.7,51.4,51.2,43.1,,,,,,
5-4-009,0.1352,0.0224,0.1128,83.4,0,8,5.02655E-05,79,80,48.8,46.3,44.5,46.1,46.8,47.1,,,,,,
5-4-010,0.1252,0.0209,0.1043,83.3,0,8,5.02655E-05,80,80,48.8,50.2,46,50.1,49.9,49.2,,,,,,
5-4-011,0.1241,0.0229,0.1012,81.5,0,8,5.02655E-05,80,80,53.7,53.1,48.1,50.4,48.7,48.4,,,,,,
5-4-012,0.124,0.0219,0.1021,82.3,0,8,5.02655E-05,80,80,47,47.9,54.4,51.7,48.2,51.4,,,,,,
5-4-013,0.1208,0.0206,0.1002,82.9,0,8,5.02655E-05,81,80,48.2,48.2,51.8,51.4,47.6,46,,,,,,
5-4-014,0.1092,0.0204,0.0888,81.3,0,8,5.02655E-05,81,80,52.3,49.4,46.6,54.2,49.9,50,,,,,,
5-4-015,0.1117,0.0207,0.091,81.5,0,8,5.02655E-05,81,80,46.3,45.2,46.9,49.6,47.4,48.1,,,,,,
5-4-016,0.1055,0.0196,0.0859,81.4,0,8,5.02655E-05,82,80,48.2,48.1,44.4,52.8,49,46.7,,,,,,
